Dosya,MSE_Noisy,MSE_Filtered,SNR_Noisy_dB,SNR_Filtered_dB,SNR_Improvement_dB
148.wav,0.027322154,0.01597766068468571,1.1140584,3.4440757232576096,2.330017347899028
149.wav,0.017397495,0.007025088122227025,0.12559365,4.063943023645498,3.9383493762846964
15.wav,0.12075224,0.01538743963163278,-8.942148,0.005140131935600497,8.947288340553765
150.wav,0.017783055,0.008381935642719884,0.94203365,4.208654394439169,3.2666207459482637
151.wav,0.03362642,0.01721803365795531,-4.2491536,-1.3421829237916456,2.906970690252544
152.wav,0.03927126,0.018183582072812895,-4.948022,-1.6040677613680634,3.3439541273648468
153.wav,0.029001858,0.01342209499773305,-4.630024,-1.283969060812343,3.346054895486485
154.wav,0.04819008,0.019511541913475514,-5.290304,-1.3636439830547122,3.926660200905249
155.wav,0.032514118,0.013364246435143366,-7.1380467,-3.2767718761003555,3.8612748653852402
156.wav,0.04341986,0.017488308151845315,-5.667255,-1.7178485393627358,3.949406385411434
157.wav,0.022823598,0.01001477394109301,-3.6795664,-0.10213679116360783,3.5774295921982087
158.wav,0.02545727,0.010868283184415404,-2.1094055,1.5871033024916086,3.6965088200697336
159.wav,0.025828743,0.007773931017767977,-1.8579782,3.356647915440018,5.214626140194351
16.wav,0.18810536,0.03143978133017262,-8.40589,-0.636673538701144,7.769216926081571
160.wav,0.034943704,0.01758205180072502,-2.3844345,0.5985593575542748,2.982993819147903
161.wav,0.017554848,0.008855009220181146,-1.9134058,1.0586746181226439,2.9720803941465084
162.wav,0.030246476,0.015154828141677484,-1.3269498,1.6742876034235499,3.0012374382471583
163.wav,0.027463099,0.014694127613287537,0.08876142,2.804818976196483,2.7160575571386367
164.wav,0.033842094,0.015073748836337003,-2.0087502,1.5036095522370125,3.512359752508619
165.wav,0.0020493553,0.001006995802439315,6.089792,9.175688122667312,3.085896347917556
166.wav,0.20764425,0.029751182450629115,-9.894933,-1.456775412473503,8.438157334413704
167.wav,0.20288451,0.029314470524093268,-9.450184,-1.0485152592361693,8.401668609172035
168.wav,0.15292111,0.01635208002295555,-12.136066,-2.4271216972903793,9.708944739477198
169.wav,0.18892425,0.020304723054135023,-11.459603,-1.77269642251253,9.686906887118818
